index,full_count_name,full_count,full_count_pos_name,full_count_pos,full_count_neg_name,full_count_neg,florida_count_name,florida_count,florida_count_pos_name,florida_count_pos,florida_count_neg_name,florida_count_neg,japan_count_name,japan_count,japan_count_pos_name,japan_count_pos,japan_count_neg_name,japan_count_neg,singapore_count_name,singapore_count,singapore_count_pos_name,singapore_count_pos,singapore_count_neg_name,singapore_count_neg
54,moppy's lucky dance party,219,hollywood dream - the ride,175.0,moppy's lucky dance party,41.0,,,,,,,,,,,,,,,,,,
55,hollywood dream - the ride,210,bert & ernie prop shop game place,168.0,hello kitty's cupcake dream,40.0,,,,,,,,,,,,,,,,,,
56,jurassic park river adventure,209,amber rock climb,164.0,wand studies,39.0,,,,,,,,,,,,,,,,,,
57,amber rock climb,207,jurassic park river adventure,159.0,sesame street 4-d movie magic,37.0,,,,,,,,,,,,,,,,,,
58,flight of the hippogriff,200,power-up band key challenges,151.0,hollywood dream - the ride,35.0,,,,,,,,,,,,,,,,,,
59,power-up band key challenges,193,abby's magical party,151.0,magic potion spin,30.0,,,,,,,,,,,,,,,,,,
60,teawa the fearless river,181,flight of the hippogriff,140.0,waturi beach,27.0,,,,,,,,,,,,,,,,,,
61,abby's magical party,176,teawa the fearless river,134.0,big bird's big nest,26.0,,,,,,,,,,,,,,,,,,
62,skull island: reign of kong,139,hollywood china arcade,110.0,jurassic park rapids adventure,26.0,,,,,,,,,,,,,,,,,,
63,triwizard spirit rally,138,treasure hunters,97.0,abby's magical party,25.0,,,,,,,,,,,,,,,,,,
64,hollywood china arcade,113,triwizard spirit rally,93.0,puss in boots' giant journey,25.0,,,,,,,,,,,,,,,,,,
65,treasure hunters,110,madagascar: a crate adventure,88.0,snoopy's sound stage adventure,23.0,,,,,,,,,,,,,,,,,,
66,flight the hippogriff,101,skull island: reign of kong,85.0,ernie's rubber ducker race,19.0,,,,,,,,,,,,,,,,,,
67,madagascar: a crate adventure,99,flight the hippogriff,84.0,lake hollywood spectacular,19.0,,,,,,,,,,,,,,,,,,
68,puka uli lagoon,92,puka uli lagoon,74.0,puka uli lagoon,18.0,,,,,,,,,,,,,,,,,,
69,terminator 2: 3-d,90,universal spectacle night parade: the best of  hollywood,74.0,flight the hippogriff,17.0,,,,,,,,,,,,,,,,,,
70,the flying snoopy,87,terminator 2: 3-d,74.0,terminator 2: 3-d,16.0,,,,,,,,,,,,,,,,,,
71,universal spectacle night parade: the best of  hollywood,83,the flying snoopy,72.0,the flying snoopy,15.0,,,,,,,,,,,,,,,,,,
72,hello kitty's ribbon collection,77,hello kitty's ribbon collection,68.0,doctor doom's fearfall,15.0,,,,,,,,,,,,,,,,,,
73,snoopy's sound stage adventure,70,lights! camera! action! hosted by steven spielberg,63.0,sesame street no limit! energy,15.0,,,,,,,,,,,,,,,,,,
74,big bird's big nest,70,snoopy's sound stage adventure,47.0,space fantasy - the ride,15.0,,,,,,,,,,,,,,,,,,
75,waturi beach,70,space fantasy - the ride,47.0,treasure hunters,13.0,,,,,,,,,,,,,,,,,,
76,lights! camera! action! hosted by steven spielberg,67,woody woodpecker's nuthouse coaster,46.0,backdraft,13.0,,,,,,,,,,,,,,,,,,
77,space fantasy - the ride,62,sesame street no limit! energy,44.0,grover's construction company,12.0,,,,,,,,,,,,,,,,,,
78,sesame street no limit! energy,59,big bird's big nest,44.0,madagascar: a crate adventure,11.0,,,,,,,,,,,,,,,,,,
